witness_id,witness_type,source_a_id,source_a_name,source_b_id,source_b_name,path_a,path_b,target_id,target_name,same_source,interpretation,result
diamond:R1:L1:253,same_source_direct_diamond,253,Alt ♮25♭67,253,Alt ♮25♭67,R1;L1,L1;R1,253,Alt ♮25♭67,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:381,same_source_direct_diamond,381,Alt ♮25♭67,381,Alt ♮25♭67,R1;L1,L1;R1,381,Alt ♮25♭67,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:445,same_source_direct_diamond,445,Alt ♮2♭♭5♭6♭♭♭7,445,Alt ♮2♭♭5♭6♭♭♭7,R1;L1,L1;R1,445,Alt ♮2♭♭5♭6♭♭♭7,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:477,same_source_direct_diamond,477,Alt ♮2𝄫6♭𝄫7,477,Alt ♮2𝄫6♭𝄫7,R1;L1,L1;R1,477,Alt ♮2𝄫6♭𝄫7,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:493,same_source_direct_diamond,493,Locrian ♮2♭♭6♭♭♭7,493,Locrian ♮2♭♭6♭♭♭7,R1;L1,L1;R1,493,Locrian ♮2♭♭6♭♭♭7,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:501,same_source_direct_diamond,501,Major Locrian 6♭7,501,Major Locrian 6♭7,R1;L1,L1;R1,501,Major Locrian 6♭7,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:505,same_source_direct_diamond,505,7-3 rooted state 505,505,7-3 rooted state 505,R1;L1,L1;R1,505,7-3 rooted state 505,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:637,same_source_direct_diamond,637,Debussy's Heptatonic,637,Debussy's Heptatonic,R1;L1,L1;R1,637,Debussy's Heptatonic,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:701,same_source_direct_diamond,701,Alt ♮2♭♭567,701,Alt ♮2♭♭567,R1;L1,L1;R1,701,Alt ♮2♭♭567,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:733,same_source_direct_diamond,733,Superlocrian ♮2♭♭6♭♭7,733,Superlocrian ♮2♭♭6♭♭7,R1;L1,L1;R1,733,Superlocrian ♮2♭♭6♭♭7,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:749,same_source_direct_diamond,749,Locrian ♮2♭♭6♭♭7,749,Locrian ♮2♭♭6♭♭7,R1;L1,L1;R1,749,Locrian ♮2♭♭6♭♭7,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:757,same_source_direct_diamond,757,Lipsean Mode II,757,Lipsean Mode II,R1;L1,L1;R1,757,Lipsean Mode II,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:761,same_source_direct_diamond,761,Major Locrian ♯267,761,Major Locrian ♯267,R1;L1,L1;R1,761,Major Locrian ♯267,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:829,same_source_direct_diamond,829,7-Z18 rooted state 829,829,7-Z18 rooted state 829,R1;L1,L1;R1,829,7-Z18 rooted state 829,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:861,same_source_direct_diamond,861,Superlocrian ♮2𝄫7,861,Superlocrian ♮2𝄫7,R1;L1,L1;R1,861,Superlocrian ♮2𝄫7,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:877,same_source_direct_diamond,877,Hungarian Major Inverse,877,Hungarian Major Inverse,R1;L1,L1;R1,877,Hungarian Major Inverse,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:885,same_source_direct_diamond,885,Major Locrian 𝄫7,885,Major Locrian 𝄫7,R1;L1,L1;R1,885,Major Locrian 𝄫7,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
diamond:R1:L1:889,same_source_direct_diamond,889,Scale 889,889,Scale 889,R1;L1,L1;R1,889,Scale 889,true,A true local confluence witness: two distinct first steps from one source rejoin after one further step.,PASS
