counterexample_id,category,tested_claim,source_id,source_name,operator_a,operator_b,left_target_id,right_target_id,evidence_edge_id,explanation
commutation-domain:R1:L1:127,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,127,7-1 terminal cluster state 127,R1,L1,,127,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:191,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,191,Ultra-Alt 67,R1,L1,,191,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:223,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,223,Scale 223,R1,L1,,223,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:239,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,239,Infra-Alt 6𝄫𝄫7,R1,L1,,239,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:247,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,247,Scale 247,R1,L1,,247,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:251,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,251,Scale 251,R1,L1,,251,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:319,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,319,7-3 rooted state 319,R1,L1,,319,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:351,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,351,Infra-Alt 567,R1,L1,,351,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:367,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,367,Infra-Alt 67,R1,L1,,367,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:375,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,375,Scale 375,R1,L1,,375,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:379,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,379,Kaikian Mode II,R1,L1,,379,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:415,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,415,Infra-Alt 57,R1,L1,,415,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:431,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,431,Infra-Alt 7,R1,L1,,431,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:439,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,439,Infra-Alt 7♭4,R1,L1,,439,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:443,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,443,Alt ♭♭5♭♭6♭♭♭7,R1,L1,,443,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:463,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,463,Scale 463,R1,L1,,463,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:471,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,471,Alt 3·6·♭7,R1,L1,,471,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:475,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,475,Alt 6♭7,R1,L1,,475,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:487,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,487,Scale 487,R1,L1,,487,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:491,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,491,Locrian ♭♭6♭♭♭7,R1,L1,,491,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:499,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,499,Major Locrian ♭26♭7,R1,L1,,499,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:575,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,575,Scale 575,R1,L1,,575,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:607,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,607,Infra-Alt 56,R1,L1,,607,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:623,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,623,Infra-Alt 6,R1,L1,,623,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:631,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,631,Infra-Alt 6♭4,R1,L1,,631,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:635,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,635,Scale 635,R1,L1,,635,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:671,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,671,Infra-Alt 5,R1,L1,,671,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:687,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,687,Alt ♭♭3♭♭4♭♭5♭♭6♭♭7,R1,L1,,687,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
commutation-domain:R1:L1:695,partial_commutation_domain_asymmetry,R1 and L1 strongly commute as partial functions,695,Phrygian Double-Flat,R1,L1,,695,,Only one composite order is defined. Equality on the common domain does not imply strong partial-function commutation.
