feature_id:ID(FeatureDefinition),release_id,label,layer,epistemic_class,data_type,unit,operator_scope,domain_scope:string[],description,source_json,:LABEL
physical.wavelength_nm,canonical-profile-registry:0.1.1,Representative wavelength,physical,framework_declared_physical_anchor,number,nm,office,all,Representative optical wavelength assigned to a Governor office. It is not caused by musical mutation.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
physical.frequency_hz,canonical-profile-registry:0.1.1,Optical frequency,physical,physically_derived,number,Hz,office,all,Vacuum frequency c/λ derived from the representative wavelength.,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""See photonic-records.json calculation policy.""}",FeatureDefinition
physical.photon_energy_j,canonical-profile-registry:0.1.1,Photon energy,physical,physically_derived,number,J,office,all,Single-photon energy hν derived from the representative wavelength.,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""See photonic-records.json calculation policy.""}",FeatureDefinition
physical.photon_energy_ev,canonical-profile-registry:0.1.1,Photon energy,physical,physically_derived,number,eV,office,all,Single-photon energy expressed in electron-volts.,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""See photonic-records.json calculation policy.""}",FeatureDefinition
physical.C_P,canonical-profile-registry:0.1.1,Photonic compression coordinate,physical,physical_anchor_plus_normalization_convention,number,normalized_inverse_wavelength,office,all,"Inverse-wavelength coordinate normalized across the seven declared office anchors. Sun=0 and Saturn=1 are a registry coordinate convention, not absolute physical endpoints.","{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""See photonic-records.json calculation policy.""}",FeatureDefinition
harmonic.canonical_scale_state,canonical-profile-registry:0.1.1,Canonical scale state,harmonic,formally_audited,integer,,state,all,Rooted scale-state identifier of the canonical A0 office anchor.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
harmonic.pitch_mask,canonical-profile-registry:0.1.1,Rooted pitch mask,harmonic,formally_audited,string,12-bit mask,state,all,Rooted twelve-position binary representation.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
harmonic.forte_family,canonical-profile-registry:0.1.1,Forte family,harmonic,formally_audited,string,,family,all,Forte set-class membership.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
harmonic.anchor_tier,canonical-profile-registry:0.1.1,Anchor tier,harmonic,framework_validated_topology,string,,state,all,"Validated anchoring stratum such as A0, A1, A2, or D1–D7.","{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
harmonic.C_H,canonical-profile-registry:0.1.1,Harmonic compression coordinate,harmonic,unresolved_measure,number_or_null,method_dependent,state_or_family,all,Reserved harmonic coordinate. Registry v0.1.1 deliberately supplies no aggregate formula.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
semantic.thermodynamic_function,canonical-profile-registry:0.1.1,Thermodynamic correspondence,semantic,authored_correspondence,string,,office,all,Framework-authored process correspondence; not a claim of physical causation.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
semantic.optical_function,canonical-profile-registry:0.1.1,Optical correspondence,semantic,authored_correspondence,string,,office,all,Framework-authored optical metaphor/correspondence distinct from measured wavelength.,"{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
semantic.directionality,canonical-profile-registry:0.1.1,Directionality,semantic,authored_correspondence,string,,office,all,"Canonical inward, outward, or mediating orientation.","{""artifact"":""source/framework/CANONICAL_FEATURE_PROFILES_AND_MUTATION_ALGEBRA.md"",""authority"":""framework_specification""}",FeatureDefinition
